team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
Christopher's Perfect Team,1,George Kittle,TE,SF,TE,Questionable,Groin,414.p.30259,2022-09-14,2.0
Christopher's Perfect Team,2,George Kittle,TE,SF,BN,Out,Groin,414.p.30259,2022-09-18,4.0
St. Louis Football Team,1,Harrison Butker,K,KC,K,Questionable,Ankle,414.p.30346,2022-09-14,2.0
St. Louis Football Team,2,Harrison Butker,K,KC,BN,Out,Ankle,414.p.30346,2022-09-18,4.0
Toney! Toni! Toné!,4,Harrison Butker,K,KC,K,Out,Ankle,414.p.30346,2022-10-01,4.0
St. Louis Football Team,4,Noah Brown,WR,Dal,BN,Questionable,,414.p.30352,2022-10-05,2.0
AndysTeamThatDoesNotInspireAwe,3,Taysom Hill,"QB,TE",NO,BN,Out,Ribs,414.p.30614,2022-09-26,4.0
AndysTeamThatDoesNotInspireAwe,6,Taysom Hill,"QB,TE",NO,BN,Questionable,Ribs,414.p.30614,2022-10-13,2.0
St. Louis Football Team,5,Baker Mayfield,QB,Car,BN,Doubtful,Ankle,414.p.30971,2022-10-11,3.0
St. Louis Football Team,6,Baker Mayfield,QB,Car,BN,Out,Ankle,414.p.30971,2022-10-18,4.0
St. Louis Football Team,6,Saquon Barkley,RB,NYG,RB,Questionable,Shoulder,414.p.30972,2022-10-14,2.0
Running Up That Hill,5,Hayden Hurst,TE,Cin,BN,Questionable,Groin,414.p.30995,2022-10-09,2.0
Running Up That Hill,6,Hayden Hurst,TE,Cin,TE,Questionable,Groin,414.p.30995,2022-10-16,2.0
St. Louis Football Team,5,Rashaad Penny,RB,Sea,BN,Out,Leg,414.p.30997,2022-10-12,4.0
Running Up That Hill,4,DJ Chark Jr.,WR,Det,BN,Out,Ankle,414.p.31031,2022-10-03,4.0
Christopher's Perfect Team,1,Michael Gallup,WR,Dal,BN,Questionable,Knee,414.p.31051,2022-09-14,2.0
Christopher's Perfect Team,2,Michael Gallup,WR,Dal,BN,Out,Knee,414.p.31051,2022-09-18,4.0
Christopher's Perfect Team,3,Michael Gallup,WR,Dal,BN,Out,Knee,414.p.31051,2022-09-26,4.0
AndysTeamThatDoesNotInspireAwe,5,Nyheim Hines,RB,Ind,RB,Questionable,Concussion,414.p.31074,2022-10-12,2.0
AndysTeamThatDoesNotInspireAwe,6,Nyheim Hines,RB,Ind,BN,Out,Concussion,414.p.31074,2022-10-18,4.0
Hit Me With Your Prescott,2,Dalton Schultz,TE,Dal,TE,Questionable,Knee,414.p.31107,2022-09-21,2.0
Hit Me With Your Prescott,3,Dalton Schultz,TE,Dal,BN,Out,Knee,414.p.31107,2022-09-26,4.0
Hit Me With Your Prescott,4,Dalton Schultz,TE,Dal,BN,Questionable,Knee,414.p.31107,2022-10-01,2.0
Hit Me With Your Prescott,5,Dalton Schultz,TE,Dal,BN,Questionable,Knee,414.p.31107,2022-10-12,2.0
Hit Me With Your Prescott,6,Dalton Schultz,TE,Dal,BN,Questionable,Knee,414.p.31107,2022-10-19,2.0
Toney! Toni! Toné!,6,Mike Boone,RB,Den,BN,Questionable,,414.p.31228,2022-10-14,2.0
St. Louis Football Team,1,Allen Lazard,WR,GB,BN,Questionable,Ankle,414.p.31268,2022-09-14,2.0
St. Louis Football Team,2,Allen Lazard,WR,GB,W/R/T,Questionable,Ankle,414.p.31268,2022-09-17,2.0
St. Louis Football Team,5,Allen Lazard,WR,GB,BN,Questionable,Ankle,414.p.31268,2022-10-06,2.0
Mac & Chase,4,Daniel Jones,QB,NYG,BN,Questionable,Ankle,414.p.31838,2022-10-05,2.0
Mac & Chase,5,Daniel Jones,QB,NYG,BN,Questionable,Ankle,414.p.31838,2022-10-06,2.0
Running Up That Hill,3,T.J. Hockenson,TE,Det,TE,Questionable,Hip,414.p.31840,2022-09-24,2.0
Running Up That Hill,5,T.J. Hockenson,TE,Det,TE,Questionable,Hip,414.p.31840,2022-10-06,2.0
2 Gurleys 1 Kupp,3,Josh Jacobs,RB,LV,BN,Questionable,Illness,414.p.31856,2022-09-24,2.0
Lil Uzi Hurts,4,Marquise Brown,WR,Ari,BN,Questionable,Foot,414.p.31857,2022-10-01,2.0
Lil Uzi Hurts,5,Marquise Brown,WR,Ari,W/R/T,Questionable,Foot,414.p.31857,2022-10-06,2.0
Lil Uzi Hurts,6,Marquise Brown,WR,Ari,W/R/T,Out,Leg,414.p.31857,2022-10-19,4.0
AndysTeamThatDoesNotInspireAwe,5,Diontae Johnson,WR,Pit,BN,Questionable,Hip,414.p.31898,2022-10-06,2.0
AndysTeamThatDoesNotInspireAwe,6,Diontae Johnson,WR,Pit,WR,Questionable,Hip,414.p.31898,2022-10-13,2.0
Christopher's Perfect Team,3,David Montgomery,RB,Chi,W/R/T,Questionable,Knee,414.p.31905,2022-09-28,2.0
Christopher's Perfect Team,4,David Montgomery,RB,Chi,W/R/T,Out,Knee,414.p.31905,2022-10-03,4.0
Christopher's Perfect Team,5,David Montgomery,RB,Chi,RB,Questionable,Ankle,414.p.31905,2022-10-08,2.0
AndysTeamThatDoesNotInspireAwe,5,Damien Harris,RB,NE,BN,Doubtful,Hamstring,414.p.31919,2022-10-12,3.0
AndysTeamThatDoesNotInspireAwe,6,Damien Harris,RB,NE,BN,Out,Hamstring,414.p.31919,2022-10-18,4.0
Toney! Toni! Toné!,3,Dawson Knox,TE,Buf,BN,Questionable,Foot,414.p.31928,2022-09-24,2.0
Toney! Toni! Toné!,6,Alexander Mattison,RB,Min,BN,Questionable,Shoulder,414.p.31934,2022-10-13,2.0
Djeango,4,Justice Hill,RB,Bal,BN,Questionable,Leg,414.p.31945,2022-10-05,2.0
Djeango,5,Justice Hill,RB,Bal,BN,Out,Hamstring,414.p.31945,2022-10-10,4.0
Christopher's Perfect Team,5,Tony Pollard,RB,Dal,W/R/T,Questionable,Illness,414.p.31960,2022-10-08,2.0
AndysTeamThatDoesNotInspireAwe,2,Hunter Renfrow,WR,LV,W/R/T,Questionable,,414.p.31981,2022-09-21,2.0
AndysTeamThatDoesNotInspireAwe,3,Hunter Renfrow,WR,LV,BN,Out,Concussion,414.p.31981,2022-09-26,4.0
AndysTeamThatDoesNotInspireAwe,4,Hunter Renfrow,WR,LV,BN,Out,Concussion,414.p.31981,2022-10-03,4.0
AndysTeamThatDoesNotInspireAwe,5,Hunter Renfrow,WR,LV,W/R/T,Questionable,Concussion,414.p.31981,2022-10-08,2.0
Djeango,3,Jakobi Meyers,WR,NE,BN,Out,Knee,414.p.32231,2022-09-26,4.0
Hit Me With Your Prescott,6,Jakobi Meyers,WR,NE,BN,Questionable,Knee,414.p.32231,2022-10-16,2.0
Christopher's Perfect Team,3,Tua Tagovailoa,QB,Mia,QB,Questionable,Back,414.p.32675,2022-09-28,2.0
Christopher's Perfect Team,4,Tua Tagovailoa,QB,Mia,QB,Out,Concussion,414.p.32675,2022-10-05,4.0
Christopher's Perfect Team,5,Tua Tagovailoa,QB,Mia,BN,Out,Concussion,414.p.32675,2022-10-12,4.0
